ImpulseId,SessionDate,Direction,ChartTimeFrame,StartBar,Price,VolumePercentile,AdjacentDepth,ShoulderDepth,Prominence,ProminenceRank,ProminenceRankScore,PositionInRange,DirectionalProgress,DistanceToPocRanges,DistanceToOriginRanges,DistanceToEdgeRanges
2026-05-18:SHORT:229,2026-05-18,SHORT,M1,229,29550.0,0.9091,0.0,0.0,0.0,1,1.0,0.1588,0.8657,0.4,1.0235,0.1588
2026-05-18:SHORT:229,2026-05-18,SHORT,M1,229,29551.25,0.9091,0.0,0.0,0.0,2,0.8571,0.1882,0.8408,0.3706,0.9941,0.1882
2026-05-18:SHORT:229,2026-05-18,SHORT,M1,229,29552.25,0.9091,0.0,0.0,0.0,3,0.7143,0.2118,0.8209,0.3471,0.9706,0.2118
2026-05-18:SHORT:229,2026-05-18,SHORT,M1,229,29560.25,0.9091,0.0,0.0,0.0,4,0.5714,0.4,0.6617,0.1588,0.7824,0.4
2026-05-18:SHORT:229,2026-05-18,SHORT,M1,229,29568.25,0.9091,0.0,0.0,0.0,5,0.4286,0.5882,0.5025,0.0294,0.5941,0.4118
2026-05-18:SHORT:229,2026-05-18,SHORT,M1,229,29569.0,0.9091,0.0,0.0,0.0,6,0.2857,0.6059,0.4876,0.0471,0.5765,0.3941
2026-05-18:SHORT:229,2026-05-18,SHORT,M1,229,29570.0,0.9091,0.0,0.0,0.0,7,0.1429,0.6294,0.4677,0.0706,0.5529,0.3706
2026-05-18:SHORT:229,2026-05-18,SHORT,M1,229,29584.5,0.9091,0.0,0.0,0.0,8,0.0,0.9706,0.1791,0.4118,0.2118,0.0294
2026-05-18:SHORT:233,2026-05-18,SHORT,M1,233,29515.5,1.0,0.0,0.0,0.0,1,1.0,0.087,0.9328,0.087,1.2065,0.087
2026-05-18:SHORT:233,2026-05-18,SHORT,M1,233,29520.75,1.0,0.0,0.0,0.0,2,0.0,0.3152,0.7563,0.3152,0.9783,0.3152
2026-05-18:SHORT:336,2026-05-18,SHORT,M1,336,29232.5,0.8,0.0,0.0,0.0,1,1.0,0.3636,0.4627,0.2525,0.3131,0.3636
2026-05-18:SHORT:336,2026-05-18,SHORT,M1,336,29235.25,0.8,0.0,0.0,0.0,2,0.8,0.4192,0.3806,0.3081,0.2576,0.4192
2026-05-18:SHORT:336,2026-05-18,SHORT,M1,336,29236.0,0.8,0.0,0.0,0.0,3,0.6,0.4343,0.3582,0.3232,0.2424,0.4343
2026-05-18:SHORT:336,2026-05-18,SHORT,M1,336,29250.25,0.8,0.0,0.0,0.0,4,0.4,0.7222,-0.0672,0.6111,0.0455,0.2778
2026-05-18:SHORT:336,2026-05-18,SHORT,M1,336,29250.5,0.8,0.0,0.0,0.0,5,0.2,0.7273,-0.0746,0.6162,0.0505,0.2727
2026-05-18:SHORT:336,2026-05-18,SHORT,M1,336,29260.0,0.8,0.0,0.0,0.0,6,0.0,0.9192,-0.3582,0.8081,0.2424,0.0808
2026-05-18:SHORT:369,2026-05-18,SHORT,M1,369,29138.25,0.75,0.0,0.0,0.0,14,0.1333,0.1061,0.9024,0.4984,0.9807,0.1061
2026-05-18:SHORT:369,2026-05-18,SHORT,M1,369,29143.25,0.75,0.0,0.6667,0.2,4,0.8,0.1704,0.8432,0.4341,0.9164,0.1704
2026-05-18:SHORT:369,2026-05-18,SHORT,M1,369,29144.0,0.75,0.0,0.6667,0.2,5,0.7333,0.1801,0.8343,0.4244,0.9068,0.1801
2026-05-18:SHORT:369,2026-05-18,SHORT,M1,369,29147.0,0.75,0.0,0.6667,0.2,6,0.6667,0.2186,0.7988,0.3859,0.8682,0.2186
2026-05-18:SHORT:369,2026-05-18,SHORT,M1,369,29148.75,0.75,0.0,0.6667,0.2,7,0.6,0.2412,0.7781,0.3633,0.8457,0.2412
2026-05-18:SHORT:369,2026-05-18,SHORT,M1,369,29175.0,0.75,0.8333,0.8333,0.5,1,1.0,0.5788,0.4675,0.0257,0.508,0.4212
2026-05-18:SHORT:369,2026-05-18,SHORT,M1,369,29183.25,0.75,0.0,0.8333,0.5,2,0.9333,0.6849,0.3698,0.0804,0.4019,0.3151
2026-05-18:SHORT:369,2026-05-18,SHORT,M1,369,29183.75,0.75,0.0,0.8333,0.5,3,0.8667,0.6913,0.3639,0.0868,0.3955,0.3087
2026-05-18:SHORT:369,2026-05-18,SHORT,M1,369,29185.25,0.75,0.0,0.6667,0.2,8,0.5333,0.7106,0.3462,0.1061,0.3762,0.2894
2026-05-18:SHORT:369,2026-05-18,SHORT,M1,369,29188.0,0.75,0.0,0.6667,0.2,9,0.4667,0.746,0.3136,0.1415,0.3408,0.254
