ImpulseId,SessionDate,Direction,ChartTimeFrame,PullbackOrdinal,Bar,Close,FrozenProfileRelation,TouchedLvns,TouchedLvnMetrics,EffortResult,CumulativeTradeCoverage,MaxCumulativeBuy,MaxCumulativeSell,OperationalEntry,OrderSubmitted
2026-05-18:SHORT:229,2026-05-18,SHORT,M1,1,231,29593.5,ABOVE_VAH,NONE,NONE,SELL_ABSORBED,MISSING,0.0,0.0,False,False
2026-05-18:SHORT:233,2026-05-18,SHORT,M1,1,234,29548.5,ABOVE_VAH,29520.75:1.0000,29520.75:1.0000:0.0000:0.0000:0.0000:2:0.0000:0.3152:0.7563:0.3152:0.9783:0.3152,BUY_WITH_RESULT,MISSING,0.0,0.0,False,False
2026-05-18:SHORT:336,2026-05-18,SHORT,M1,1,338,29222.25,INSIDE_VALUE,NONE,NONE,NEUTRAL,MISSING,0.0,0.0,False,False
2026-05-18:SHORT:336,2026-05-18,SHORT,M1,2,339,29265.5,ABOVE_VAH,NONE,NONE,BUY_ABSORBED,MISSING,0.0,0.0,False,False
2026-05-18:SHORT:369,2026-05-18,SHORT,M1,1,373,29136.0,INSIDE_VALUE,NONE,NONE,SELL_ABSORBED,MISSING,0.0,0.0,False,False
2026-05-18:SHORT:369,2026-05-18,SHORT,M1,2,374,29123.25,BELOW_VAL,NONE,NONE,BUY_ABSORBED,MISSING,0.0,0.0,False,False
2026-05-19:LONG:705,2026-05-19,LONG,M1,1,708,29228.5,ABOVE_VAH,29230.50:0.9583|29235.25:0.9583|29243.50:0.9583|29243.75:0.9583,29230.50:0.9583:0.0000:0.0000:0.0000:18:0.1500:0.6439:0.5932:0.2997:0.5193:0.3561|29235.25:0.9583:0.0000:0.0000:0.0000:19:0.1000:0.7003:0.6576:0.3561:0.5757:0.2997|29243.50:0.9583:0.0000:0.0000:0.0000:20:0.0500:0.7982:0.7695:0.4540:0.6736:0.2018|29243.75:0.9583:0.0000:0.0000:0.0000:21:0.0000:0.8012:0.7729:0.4570:0.6766:0.1988,SELL_WITH_RESULT,AVAILABLE,1.0,10.0,False,False
2026-05-19:LONG:705,2026-05-19,LONG,M1,2,709,29209.0,INSIDE_VALUE,29210.75:0.9583|29220.00:0.9583,29210.75:0.9583:0.0000:0.0000:0.0000:14:0.3500:0.4095:0.3254:0.0653:0.2849:0.4095|29220.00:0.9583:0.0000:0.0000:0.0000:15:0.3000:0.5193:0.4508:0.1751:0.3947:0.4807,SELL_WITH_RESULT,AVAILABLE,1.0,6.0,False,False
2026-05-19:LONG:705,2026-05-19,LONG,M1,3,710,29292.0,ABOVE_VAH,NONE,NONE,BUY_WITH_RESULT,AVAILABLE,2.0,1.0,False,False
2026-05-19:SHORT:720,2026-05-19,SHORT,M1,1,721,29151.25,INSIDE_VALUE,NONE,NONE,SELL_ABSORBED,AVAILABLE,0.0,1.0,False,False
2026-05-19:LONG:723,2026-05-19,LONG,M1,1,724,29219.25,BELOW_VAL,NONE,NONE,NEUTRAL,AVAILABLE,1.0,1.0,False,False
2026-05-19:LONG:728,2026-05-19,LONG,M1,1,730,29200.25,BELOW_VAL,NONE,NONE,BUY_ABSORBED,AVAILABLE,2.0,1.0,False,False
2026-05-19:SHORT:739,2026-05-19,SHORT,M1,1,742,29052.0,INSIDE_VALUE,NONE,NONE,SELL_ABSORBED,AVAILABLE,0.0,1.0,False,False
2026-05-19:SHORT:739,2026-05-19,SHORT,M1,2,743,29063.5,INSIDE_VALUE,29049.25:0.9524|29049.75:0.9524|29058.75:0.9524|29059.25:0.9524,29049.25:0.9524:0.0000:0.0000:0.0000:1:1.0000:0.0525:0.9281:0.0105:0.6778:0.0525|29049.75:0.9524:0.0000:0.0000:0.0000:2:0.9412:0.0560:0.9233:0.0070:0.6743:0.0560|29058.75:0.9524:0.0000:0.0000:0.0000:3:0.8824:0.1191:0.8369:0.0560:0.6112:0.1191|29059.25:0.9524:0.0000:0.0000:0.0000:4:0.8235:0.1226:0.8321:0.0595:0.6077:0.1226,SELL_ABSORBED,AVAILABLE,1.0,1.0,False,False
2026-05-19:SHORT:747,2026-05-19,SHORT,M1,1,752,28988.75,INSIDE_VALUE,28987.25:0.7391,28987.25:0.7391:0.0000:0.6667:0.2857:1:1.0000:0.1858:0.8090:0.1393:0.7869:0.1858,SELL_ABSORBED,AVAILABLE,2.0,5.0,False,False
2026-05-19:SHORT:747,2026-05-19,SHORT,M1,2,753,28976.0,INSIDE_VALUE,28976.00:0.7391,28976.00:0.7391:0.5000:0.5000:0.1429:3:0.8571:0.0628:0.9354:0.2623:0.9098:0.0628,SELL_ABSORBED,AVAILABLE,1.0,3.0,False,False
2026-05-19:SHORT:747,2026-05-19,SHORT,M1,3,754,28955.0,BELOW_VAL,28976.00:0.7391,28976.00:0.7391:0.5000:0.5000:0.1429:3:0.8571:0.0628:0.9354:0.2623:0.9098:0.0628,SELL_WITH_RESULT,AVAILABLE,0.0,2.0,False,False
2026-05-19:LONG:825,2026-05-19,LONG,M1,1,826,29116.75,INSIDE_VALUE,NONE,NONE,BUY_ABSORBED,AVAILABLE,1.0,0.0,False,False
