impulseId,sessionDate,direction,chartTimeFrame,confirmationBar,resolvedBar,entryPrice,targetB,invalidationA,rewardPoints,riskPoints,rewardRiskRatio,outcome,outcomeBar,barsToOutcome,exitPrice,grossR,sameBarAmbiguous,lifecycleEndReason,operationalEntry,orderSubmitted,pnlComputed,netRAt0p5PointsCost,netRAt1p0PointsCost,netRAt1p5PointsCost
2026-06-15:LONG:14058,2026-06-15,LONG,M1,14070,14072,30753.0,30800.0,30720.5,47.0,32.5,1.4461538461538461,ORIGIN_A_FIRST,14072,2,30720.5,-1.0,False,ORIGIN_REENTRY,False,False,False,-1.0153846153846153,-1.0307692307692307,-1.0461538461538462
2026-06-17:SHORT:17073,2026-06-17,SHORT,M1,17086,17111,30240.5,30070.25,30376.25,170.25,135.75,1.2541436464088398,ORIGIN_A_FIRST,17111,25,30376.25,-1.0,False,ORIGIN_REENTRY,False,False,False,-1.003683241252302,-1.007366482504604,-1.011049723756906
2026-06-18:SHORT:18186,2026-06-18,SHORT,M1,18191,18197,30421.5,30408.0,30554.25,13.5,132.75,0.1016949152542373,TARGET_B_FIRST,18197,6,30408.0,0.1016949152542373,False,CONTINUATION_NEW_EXTREME,False,False,False,0.09792843691148777,0.09416195856873824,0.0903954802259887
2026-06-19:LONG:19708,2026-06-19,LONG,M1,19711,19712,30688.0,30691.0,30685.0,3.0,3.0,1.0,ORIGIN_A_FIRST,19712,1,30685.0,-1.0,False,ORIGIN_REENTRY,False,False,False,-1.1666666666666667,-1.3333333333333333,-1.5
2026-06-23:SHORT:22178,2026-06-23,SHORT,M1,22188,22190,29786.25,29765.0,29813.0,21.25,26.75,0.794392523364486,TARGET_B_FIRST,22190,2,29765.0,0.794392523364486,False,CONTINUATION_NEW_EXTREME,False,False,False,0.7757009345794392,0.7570093457943925,0.7383177570093458
2026-06-24:LONG:23537,2026-06-24,LONG,M1,23543,23552,29845.5,29877.75,29761.25,32.25,84.25,0.3827893175074184,TARGET_B_FIRST,23552,9,29877.75,0.3827893175074184,False,CONTINUATION_NEW_EXTREME,False,False,False,0.3768545994065282,0.37091988130563797,0.3649851632047478
2026-06-24:SHORT:23658,2026-06-24,SHORT,M1,23659,23660,29615.0,29612.5,29635.5,2.5,20.5,0.12195121951219512,AMBIGUOUS_SAME_BAR_AS_LOSS,23660,1,29635.5,-1.0,True,TWO_SIDED_RANGE,False,False,False,-1.024390243902439,-1.048780487804878,-1.0731707317073171
2026-06-25:LONG:25131,2026-06-25,LONG,M1,25135,25139,29811.25,29869.75,29803.0,58.5,8.25,7.090909090909091,TARGET_B_FIRST,25139,4,29869.75,7.090909090909091,False,CONTINUATION_NEW_EXTREME,False,False,False,7.03030303030303,6.96969696969697,6.909090909090909
2026-06-30:LONG:29035,2026-06-30,LONG,M1,29039,29042,30409.5,30423.0,30384.5,13.5,25.0,0.54,TARGET_B_FIRST,29042,3,30423.0,0.54,False,CONTINUATION_NEW_EXTREME,False,False,False,0.52,0.5,0.48000000000000004
2026-07-01:SHORT:30365,2026-07-01,SHORT,M1,30372,30379,30114.5,30087.75,30178.5,26.75,64.0,0.41796875,ORIGIN_A_FIRST,30374,2,30178.5,-1.0,False,ORIGIN_REENTRY,False,False,False,-1.0078125,-1.015625,-1.0234375
