ShadowId,ImpulseId,SessionDate,Direction,ChartTimeFrame,EvaluationCohort,PathBarOrdinal,Bar,BarEndItaly,ElapsedMinutes,Open,High,Low,Close,DirectionalCloseMovePoints,FavorableMfePoints,AdverseMaePoints,DirectionalCloseMoveRanges,FavorableMfeRanges,AdverseMaeRanges,CumulativeTradeCoverage,MaxCumulativeBuy,MaxCumulativeSell,Completes30MinutePath,OperationalEntry,OrderSubmitted,PnLComputed,ConfirmationBar,ConfirmationTimeItaly,ShadowEntryPrice,PullbackOrdinal,TouchedLvns,DirectionalCumulativeMax,OppositeCumulativeMax,MinimumDirectionalCumulativeTrade,Meaning
2026-06-15:LONG:14058:SHADOW,2026-06-15:LONG:14058,2026-06-15,LONG,M1,HISTORICAL_REFERENCE,1,14071,2026-06-15 15:58:59,1.0015,30751.0,30756.0,30726.5,30727.25,-25.75,3.0,26.5,-0.2641,0.0308,0.2718,AVAILABLE,6.0,20.0,False,False,False,False,14070,2026-06-15 15:57:59,30753.0,4,30739.50:0.3728|30740.25:0.2468|30742.50:0.7069|30743.25:0.7815|30743.75:0.7815|30744.25:0.6272|30744.75:0.7609|30745.25:0.3933|30746.25:0.4473|30747.50:0.5167|30748.00:0.5913|30748.50:0.5990|30749.00:0.8175|30750.25:0.8638|30750.75:0.8997|30751.25:0.8586|30752.00:0.9126|30753.00:0.8021|30754.00:0.8021|30754.75:0.6272|30755.25:0.4833|30755.50:0.4833|30756.50:0.5167|30757.50:0.4036|30758.50:0.3728|30759.25:0.4627|30759.75:0.4833|30760.75:0.2159|30761.25:0.1234|30761.75:0.0617|30762.50:0.1234|30763.25:0.1620|30763.75:0.1234|30764.50:0.4319,80.0,14.0,30.0,OBSERVATION_START_NO_ORDER
2026-06-15:LONG:14058:SHADOW,2026-06-15:LONG:14058,2026-06-15,LONG,M1,HISTORICAL_REFERENCE,2,14072,2026-06-15 15:59:59,2.0,30727.25,30733.0,30696.5,30703.75,-49.25,3.0,56.5,-0.5051,0.0308,0.5795,AVAILABLE,30.0,35.0,False,False,False,False,14070,2026-06-15 15:57:59,30753.0,4,30739.50:0.3728|30740.25:0.2468|30742.50:0.7069|30743.25:0.7815|30743.75:0.7815|30744.25:0.6272|30744.75:0.7609|30745.25:0.3933|30746.25:0.4473|30747.50:0.5167|30748.00:0.5913|30748.50:0.5990|30749.00:0.8175|30750.25:0.8638|30750.75:0.8997|30751.25:0.8586|30752.00:0.9126|30753.00:0.8021|30754.00:0.8021|30754.75:0.6272|30755.25:0.4833|30755.50:0.4833|30756.50:0.5167|30757.50:0.4036|30758.50:0.3728|30759.25:0.4627|30759.75:0.4833|30760.75:0.2159|30761.25:0.1234|30761.75:0.0617|30762.50:0.1234|30763.25:0.1620|30763.75:0.1234|30764.50:0.4319,80.0,14.0,30.0,OBSERVATION_START_NO_ORDER
2026-06-15:LONG:14058:SHADOW,2026-06-15:LONG:14058,2026-06-15,LONG,M1,HISTORICAL_REFERENCE,3,14073,2026-06-15 16:00:59,2.9989,30703.75,30715.75,30689.75,30703.25,-49.75,3.0,63.25,-0.5103,0.0308,0.6487,AVAILABLE,13.0,14.0,False,False,False,False,14070,2026-06-15 15:57:59,30753.0,4,30739.50:0.3728|30740.25:0.2468|30742.50:0.7069|30743.25:0.7815|30743.75:0.7815|30744.25:0.6272|30744.75:0.7609|30745.25:0.3933|30746.25:0.4473|30747.50:0.5167|30748.00:0.5913|30748.50:0.5990|30749.00:0.8175|30750.25:0.8638|30750.75:0.8997|30751.25:0.8586|30752.00:0.9126|30753.00:0.8021|30754.00:0.8021|30754.75:0.6272|30755.25:0.4833|30755.50:0.4833|30756.50:0.5167|30757.50:0.4036|30758.50:0.3728|30759.25:0.4627|30759.75:0.4833|30760.75:0.2159|30761.25:0.1234|30761.75:0.0617|30762.50:0.1234|30763.25:0.1620|30763.75:0.1234|30764.50:0.4319,80.0,14.0,30.0,OBSERVATION_START_NO_ORDER
2026-06-15:LONG:14058:SHADOW,2026-06-15:LONG:14058,2026-06-15,LONG,M1,HISTORICAL_REFERENCE,4,14074,2026-06-15 16:01:59,3.9997,30702.75,30732.0,30693.25,30727.5,-25.5,3.0,63.25,-0.2615,0.0308,0.6487,AVAILABLE,50.0,18.0,False,False,False,False,14070,2026-06-15 15:57:59,30753.0,4,30739.50:0.3728|30740.25:0.2468|30742.50:0.7069|30743.25:0.7815|30743.75:0.7815|30744.25:0.6272|30744.75:0.7609|30745.25:0.3933|30746.25:0.4473|30747.50:0.5167|30748.00:0.5913|30748.50:0.5990|30749.00:0.8175|30750.25:0.8638|30750.75:0.8997|30751.25:0.8586|30752.00:0.9126|30753.00:0.8021|30754.00:0.8021|30754.75:0.6272|30755.25:0.4833|30755.50:0.4833|30756.50:0.5167|30757.50:0.4036|30758.50:0.3728|30759.25:0.4627|30759.75:0.4833|30760.75:0.2159|30761.25:0.1234|30761.75:0.0617|30762.50:0.1234|30763.25:0.1620|30763.75:0.1234|30764.50:0.4319,80.0,14.0,30.0,OBSERVATION_START_NO_ORDER
2026-06-15:LONG:14058:SHADOW,2026-06-15:LONG:14058,2026-06-15,LONG,M1,HISTORICAL_REFERENCE,5,14075,2026-06-15 16:02:59,4.9941,30728.75,30744.25,30715.0,30724.25,-28.75,3.0,63.25,-0.2949,0.0308,0.6487,AVAILABLE,30.0,34.0,False,False,False,False,14070,2026-06-15 15:57:59,30753.0,4,30739.50:0.3728|30740.25:0.2468|30742.50:0.7069|30743.25:0.7815|30743.75:0.7815|30744.25:0.6272|30744.75:0.7609|30745.25:0.3933|30746.25:0.4473|30747.50:0.5167|30748.00:0.5913|30748.50:0.5990|30749.00:0.8175|30750.25:0.8638|30750.75:0.8997|30751.25:0.8586|30752.00:0.9126|30753.00:0.8021|30754.00:0.8021|30754.75:0.6272|30755.25:0.4833|30755.50:0.4833|30756.50:0.5167|30757.50:0.4036|30758.50:0.3728|30759.25:0.4627|30759.75:0.4833|30760.75:0.2159|30761.25:0.1234|30761.75:0.0617|30762.50:0.1234|30763.25:0.1620|30763.75:0.1234|30764.50:0.4319,80.0,14.0,30.0,OBSERVATION_START_NO_ORDER
2026-06-15:LONG:14058:SHADOW,2026-06-15:LONG:14058,2026-06-15,LONG,M1,HISTORICAL_REFERENCE,6,14076,2026-06-15 16:03:59,6.001,30723.75,30755.0,30722.25,30745.25,-7.75,3.0,63.25,-0.0795,0.0308,0.6487,AVAILABLE,73.0,10.0,False,False,False,False,14070,2026-06-15 15:57:59,30753.0,4,30739.50:0.3728|30740.25:0.2468|30742.50:0.7069|30743.25:0.7815|30743.75:0.7815|30744.25:0.6272|30744.75:0.7609|30745.25:0.3933|30746.25:0.4473|30747.50:0.5167|30748.00:0.5913|30748.50:0.5990|30749.00:0.8175|30750.25:0.8638|30750.75:0.8997|30751.25:0.8586|30752.00:0.9126|30753.00:0.8021|30754.00:0.8021|30754.75:0.6272|30755.25:0.4833|30755.50:0.4833|30756.50:0.5167|30757.50:0.4036|30758.50:0.3728|30759.25:0.4627|30759.75:0.4833|30760.75:0.2159|30761.25:0.1234|30761.75:0.0617|30762.50:0.1234|30763.25:0.1620|30763.75:0.1234|30764.50:0.4319,80.0,14.0,30.0,OBSERVATION_START_NO_ORDER
2026-06-15:LONG:14058:SHADOW,2026-06-15:LONG:14058,2026-06-15,LONG,M1,HISTORICAL_REFERENCE,7,14077,2026-06-15 16:04:59,6.9974,30745.5,30761.75,30732.75,30741.0,-12.0,8.75,63.25,-0.1231,0.0897,0.6487,AVAILABLE,35.0,70.0,False,False,False,False,14070,2026-06-15 15:57:59,30753.0,4,30739.50:0.3728|30740.25:0.2468|30742.50:0.7069|30743.25:0.7815|30743.75:0.7815|30744.25:0.6272|30744.75:0.7609|30745.25:0.3933|30746.25:0.4473|30747.50:0.5167|30748.00:0.5913|30748.50:0.5990|30749.00:0.8175|30750.25:0.8638|30750.75:0.8997|30751.25:0.8586|30752.00:0.9126|30753.00:0.8021|30754.00:0.8021|30754.75:0.6272|30755.25:0.4833|30755.50:0.4833|30756.50:0.5167|30757.50:0.4036|30758.50:0.3728|30759.25:0.4627|30759.75:0.4833|30760.75:0.2159|30761.25:0.1234|30761.75:0.0617|30762.50:0.1234|30763.25:0.1620|30763.75:0.1234|30764.50:0.4319,80.0,14.0,30.0,OBSERVATION_START_NO_ORDER
2026-06-15:LONG:14058:SHADOW,2026-06-15:LONG:14058,2026-06-15,LONG,M1,HISTORICAL_REFERENCE,8,14078,2026-06-15 16:05:59,8.0014,30739.5,30764.0,30736.0,30742.25,-10.75,11.0,63.25,-0.1103,0.1128,0.6487,AVAILABLE,18.0,20.0,False,False,False,False,14070,2026-06-15 15:57:59,30753.0,4,30739.50:0.3728|30740.25:0.2468|30742.50:0.7069|30743.25:0.7815|30743.75:0.7815|30744.25:0.6272|30744.75:0.7609|30745.25:0.3933|30746.25:0.4473|30747.50:0.5167|30748.00:0.5913|30748.50:0.5990|30749.00:0.8175|30750.25:0.8638|30750.75:0.8997|30751.25:0.8586|30752.00:0.9126|30753.00:0.8021|30754.00:0.8021|30754.75:0.6272|30755.25:0.4833|30755.50:0.4833|30756.50:0.5167|30757.50:0.4036|30758.50:0.3728|30759.25:0.4627|30759.75:0.4833|30760.75:0.2159|30761.25:0.1234|30761.75:0.0617|30762.50:0.1234|30763.25:0.1620|30763.75:0.1234|30764.50:0.4319,80.0,14.0,30.0,OBSERVATION_START_NO_ORDER
2026-06-15:LONG:14058:SHADOW,2026-06-15:LONG:14058,2026-06-15,LONG,M1,HISTORICAL_REFERENCE,9,14079,2026-06-15 16:06:59,8.9957,30742.25,30762.5,30742.25,30750.75,-2.25,11.0,63.25,-0.0231,0.1128,0.6487,AVAILABLE,26.0,75.0,False,False,False,False,14070,2026-06-15 15:57:59,30753.0,4,30739.50:0.3728|30740.25:0.2468|30742.50:0.7069|30743.25:0.7815|30743.75:0.7815|30744.25:0.6272|30744.75:0.7609|30745.25:0.3933|30746.25:0.4473|30747.50:0.5167|30748.00:0.5913|30748.50:0.5990|30749.00:0.8175|30750.25:0.8638|30750.75:0.8997|30751.25:0.8586|30752.00:0.9126|30753.00:0.8021|30754.00:0.8021|30754.75:0.6272|30755.25:0.4833|30755.50:0.4833|30756.50:0.5167|30757.50:0.4036|30758.50:0.3728|30759.25:0.4627|30759.75:0.4833|30760.75:0.2159|30761.25:0.1234|30761.75:0.0617|30762.50:0.1234|30763.25:0.1620|30763.75:0.1234|30764.50:0.4319,80.0,14.0,30.0,OBSERVATION_START_NO_ORDER
2026-06-15:LONG:14058:SHADOW,2026-06-15:LONG:14058,2026-06-15,LONG,M1,HISTORICAL_REFERENCE,10,14080,2026-06-15 16:07:59,10.0002,30749.75,30753.75,30725.75,30737.25,-15.75,11.0,63.25,-0.1615,0.1128,0.6487,AVAILABLE,27.0,49.0,False,False,False,False,14070,2026-06-15 15:57:59,30753.0,4,30739.50:0.3728|30740.25:0.2468|30742.50:0.7069|30743.25:0.7815|30743.75:0.7815|30744.25:0.6272|30744.75:0.7609|30745.25:0.3933|30746.25:0.4473|30747.50:0.5167|30748.00:0.5913|30748.50:0.5990|30749.00:0.8175|30750.25:0.8638|30750.75:0.8997|30751.25:0.8586|30752.00:0.9126|30753.00:0.8021|30754.00:0.8021|30754.75:0.6272|30755.25:0.4833|30755.50:0.4833|30756.50:0.5167|30757.50:0.4036|30758.50:0.3728|30759.25:0.4627|30759.75:0.4833|30760.75:0.2159|30761.25:0.1234|30761.75:0.0617|30762.50:0.1234|30763.25:0.1620|30763.75:0.1234|30764.50:0.4319,80.0,14.0,30.0,OBSERVATION_START_NO_ORDER
