AbsoluteDeltaPercentilePrior,Bar,BarRangeToBaselineMedian,Boundary,BoundaryPrice,BreachDistanceRanges,BuyVolume,CloseDistanceRanges,CloseState,Delta,EventClose,Interaction,Italy,London,MaxBuyPercentilePrior,MaxBuyVolume,MaxSellPercentilePrior,MaxSellVolume,OutsideCloseStreak,ProfileCVD,ProfileLabel,SellVolume,TestOrdinal,TotalVolume,TotalVolumePercentilePrior,TradeCount,TradeCoverage,UTC
,146,1.42,LOW,29901.0,0.14,107.0,-0.2,INSIDE,-10.0,29912.5,BREACH,2026-06-12 12:14:57,2026-06-12 11:14:57,,22.0,,11.0,0,-10.0,2026-06-12:139-145:DynamicCompression,117.0,1,224.0,,117,AVAILABLE,2026-06-12 10:14:57
1.0,147,1.05,LOW,29901.0,0.42,86.0,0.06,OUTSIDE,-45.0,29897.5,BREACH,2026-06-12 12:19:59,2026-06-12 11:19:59,0.0,4.0,1.0,15.0,1,-55.0,2026-06-12:139-145:DynamicCompression,131.0,2,217.0,0.0,129,AVAILABLE,2026-06-12 10:19:59
1.0,148,0.87,LOW,29901.0,0.72,131.0,0.4,OUTSIDE,48.0,29878.25,BREACH,2026-06-12 12:24:58,2026-06-12 11:24:58,0.5,15.0,0.5,11.0,2,-7.0,2026-06-12:139-145:DynamicCompression,83.0,3,214.0,0.0,125,AVAILABLE,2026-06-12 10:24:58
0.33,149,1.81,LOW,29901.0,1.6,185.0,1.36,OUTSIDE,11.0,29823.25,BREACH,2026-06-12 12:29:56,2026-06-12 11:29:56,0.33,9.0,0.0,6.0,3,4.0,2026-06-12:139-145:DynamicCompression,174.0,4,359.0,1.0,246,AVAILABLE,2026-06-12 10:29:56
0.0,722,1.46,LOW,30928.5,0.21,330.0,0.2,OUTSIDE,-31.0,30922.0,BREACH,2026-06-16 14:14:59,2026-06-16 13:14:59,1.0,22.0,1.0,13.0,1,-69.0,2026-06-16:714-720:DynamicCompression,361.0,1,691.0,1.0,406,AVAILABLE,2026-06-16 12:14:59
1.0,723,1.52,LOW,30928.5,1.1,532.0,0.81,OUTSIDE,-91.0,30902.5,BREACH,2026-06-16 14:19:58,2026-06-16 13:19:58,1.0,27.0,1.0,25.0,2,-160.0,2026-06-16:714-720:DynamicCompression,623.0,2,1155.0,1.0,650,AVAILABLE,2026-06-16 12:19:58
,969,1.11,LOW,30485.25,0.13,166.0,0.04,OUTSIDE,-50.0,30483.75,BREACH,2026-06-17 11:49:59,2026-06-17 10:49:59,,11.0,,14.0,1,-50.0,2026-06-17:962-968:DynamicCompression,216.0,1,382.0,,196,AVAILABLE,2026-06-17 09:49:59
1.0,970,1.51,LOW,30485.25,0.9,300.0,0.56,OUTSIDE,-152.0,30462.25,BREACH,2026-06-17 11:54:59,2026-06-17 10:54:59,0.0,10.0,1.0,34.0,2,-202.0,2026-06-17:962-968:DynamicCompression,452.0,2,752.0,1.0,396,AVAILABLE,2026-06-17 09:54:59
0.0,971,0.82,LOW,30485.25,0.9,219.0,0.54,OUTSIDE,20.0,30463.0,BREACH,2026-06-17 11:59:58,2026-06-17 10:59:58,0.5,10.0,0.0,10.0,3,-182.0,2026-06-17:962-968:DynamicCompression,199.0,3,418.0,0.5,270,AVAILABLE,2026-06-17 09:59:58
,1508,1.0,HIGH,30650.0,0.26,157.0,-0.03,INSIDE,33.0,30649.0,BREACH,2026-06-19 10:44:58,2026-06-19 09:44:58,,19.0,,10.0,0,33.0,2026-06-19:1501-1507:DynamicCompression,124.0,1,281.0,,138,AVAILABLE,2026-06-19 08:44:58
1.0,1509,1.49,HIGH,30650.0,0.25,226.0,0.24,OUTSIDE,44.0,30658.0,BREACH,2026-06-19 10:49:58,2026-06-19 09:49:58,0.0,8.0,0.0,7.0,1,77.0,2026-06-19:1501-1507:DynamicCompression,182.0,2,408.0,1.0,209,AVAILABLE,2026-06-19 08:49:58
0.0,1510,0.74,HIGH,30650.0,0.31,70.0,-0.08,INSIDE,-4.0,30647.25,BREACH,2026-06-19 10:54:51,2026-06-19 09:54:51,0.5,8.0,0.5,7.0,0,73.0,2026-06-19:1501-1507:DynamicCompression,74.0,3,144.0,0.0,72,AVAILABLE,2026-06-19 08:54:51
0.0,1511,0.49,HIGH,30650.0,0.14,57.0,-0.02,INSIDE,-2.0,30649.25,BREACH,2026-06-19 10:59:39,2026-06-19 09:59:39,0.0,5.0,0.67,7.0,0,71.0,2026-06-19:1501-1507:DynamicCompression,59.0,4,116.0,0.0,59,AVAILABLE,2026-06-19 08:59:39
0.5,1512,1.45,HIGH,30650.0,0.49,249.0,-0.37,INSIDE,-15.0,30637.75,BREACH,2026-06-19 11:04:58,2026-06-19 10:04:58,1.0,19.0,1.0,29.0,0,56.0,2026-06-19:1501-1507:DynamicCompression,264.0,5,513.0,1.0,204,AVAILABLE,2026-06-19 09:04:58
1.0,1516,1.41,LOW,30617.25,0.21,107.0,-0.08,INSIDE,-84.0,30619.75,BREACH,2026-06-19 11:24:58,2026-06-19 10:24:58,0.25,6.0,0.75,17.0,0,-48.0,2026-06-19:1501-1507:DynamicCompression,191.0,1,298.0,0.63,154,AVAILABLE,2026-06-19 09:24:58
0.44,1517,0.55,LOW,30617.25,0.11,96.0,0.05,OUTSIDE,-16.0,30615.5,BREACH,2026-06-19 11:29:50,2026-06-19 10:29:50,0.67,14.0,0.67,10.0,1,-64.0,2026-06-19:1501-1507:DynamicCompression,112.0,2,208.0,0.33,88,AVAILABLE,2026-06-19 09:29:50
0.2,1518,1.09,LOW,30617.25,0.11,105.0,-0.54,INSIDE,4.0,30635.0,BREACH,2026-06-19 11:34:52,2026-06-19 10:34:52,0.5,9.0,0.9,25.0,0,-60.0,2026-06-19:1501-1507:DynamicCompression,101.0,3,206.0,0.3,104,AVAILABLE,2026-06-19 09:34:52
