Boundary,CloseMoveRanges,DownMaeRanges,EndBar,EndClose,EndInsideRange,EventBar,EventClose,HorizonBars,Interaction,Italy,London,PocTouched,ProfileLabel,TradeCoverage,UTC,UpMfeRanges
LOW,-0.26,0.62,147,29897.5,False,146,29912.5,1,BREACH,2026-06-12 12:19:59,2026-06-12 11:19:59,False,2026-06-12:139-145:DynamicCompression,AVAILABLE,2026-06-12 10:19:59,0.11
LOW,-1.57,1.8,149,29823.25,False,146,29912.5,3,BREACH,2026-06-12 12:29:56,2026-06-12 11:29:56,False,2026-06-12:139-145:DynamicCompression,AVAILABLE,2026-06-12 10:29:56,0.11
LOW,-1.05,1.8,152,29852.75,False,146,29912.5,6,BREACH,2026-06-12 12:44:48,2026-06-12 11:44:48,False,2026-06-12:139-145:DynamicCompression,AVAILABLE,2026-06-12 10:44:48,0.11
LOW,-0.54,1.8,158,29882.0,False,146,29912.5,12,BREACH,2026-06-12 13:14:55,2026-06-12 12:14:55,False,2026-06-12:139-145:DynamicCompression,AVAILABLE,2026-06-12 11:14:55,0.11
LOW,-0.34,0.66,148,29878.25,False,147,29897.5,1,BREACH,2026-06-12 12:24:58,2026-06-12 11:24:58,False,2026-06-12:139-145:DynamicCompression,AVAILABLE,2026-06-12 10:24:58,0.0
LOW,-1.11,1.54,150,29834.5,False,147,29897.5,3,BREACH,2026-06-12 12:34:53,2026-06-12 11:34:53,False,2026-06-12:139-145:DynamicCompression,AVAILABLE,2026-06-12 10:34:53,0.0
LOW,-0.8,1.54,153,29852.0,False,147,29897.5,6,BREACH,2026-06-12 12:49:44,2026-06-12 11:49:44,False,2026-06-12:139-145:DynamicCompression,AVAILABLE,2026-06-12 10:49:44,0.0
LOW,0.02,1.54,159,29898.75,False,147,29897.5,12,BREACH,2026-06-12 13:19:56,2026-06-12 12:19:56,False,2026-06-12:139-145:DynamicCompression,AVAILABLE,2026-06-12 11:19:56,0.06
LOW,-0.96,1.2,149,29823.25,False,148,29878.25,1,BREACH,2026-06-12 12:29:56,2026-06-12 11:29:56,False,2026-06-12:139-145:DynamicCompression,AVAILABLE,2026-06-12 10:29:56,0.05
LOW,-0.68,1.2,151,29839.25,False,148,29878.25,3,BREACH,2026-06-12 12:39:58,2026-06-12 11:39:58,False,2026-06-12:139-145:DynamicCompression,AVAILABLE,2026-06-12 10:39:58,0.05
LOW,-0.65,1.2,154,29841.0,False,148,29878.25,6,BREACH,2026-06-12 12:54:56,2026-06-12 11:54:56,False,2026-06-12:139-145:DynamicCompression,AVAILABLE,2026-06-12 10:54:56,0.05
LOW,0.96,1.2,160,29933.0,True,148,29878.25,12,BREACH,2026-06-12 13:24:55,2026-06-12 12:24:55,False,2026-06-12:139-145:DynamicCompression,AVAILABLE,2026-06-12 11:24:55,0.99
LOW,0.2,0.06,150,29834.5,False,149,29823.25,1,BREACH,2026-06-12 12:34:53,2026-06-12 11:34:53,False,2026-06-12:139-145:DynamicCompression,AVAILABLE,2026-06-12 10:34:53,0.68
LOW,0.52,0.06,152,29852.75,False,149,29823.25,3,BREACH,2026-06-12 12:44:48,2026-06-12 11:44:48,False,2026-06-12:139-145:DynamicCompression,AVAILABLE,2026-06-12 10:44:48,0.69
LOW,0.38,0.06,155,29844.75,False,149,29823.25,6,BREACH,2026-06-12 12:59:52,2026-06-12 11:59:52,False,2026-06-12:139-145:DynamicCompression,AVAILABLE,2026-06-12 10:59:52,0.71
LOW,1.78,0.06,161,29924.5,True,149,29823.25,12,BREACH,2026-06-12 13:29:31,2026-06-12 12:29:31,False,2026-06-12:139-145:DynamicCompression,AVAILABLE,2026-06-12 11:29:31,1.99
LOW,-0.6,0.9,723,30902.5,False,722,30922.0,1,BREACH,2026-06-16 14:19:58,2026-06-16 13:19:58,False,2026-06-16:714-720:DynamicCompression,AVAILABLE,2026-06-16 12:19:58,0.03
LOW,-1.88,2.68,725,30861.5,False,722,30922.0,3,BREACH,2026-06-16 14:29:59,2026-06-16 13:29:59,False,2026-06-16:714-720:DynamicCompression,AVAILABLE,2026-06-16 12:29:59,0.03
LOW,-2.81,3.04,728,30831.5,False,722,30922.0,6,BREACH,2026-06-16 14:44:58,2026-06-16 13:44:58,False,2026-06-16:714-720:DynamicCompression,AVAILABLE,2026-06-16 12:44:58,0.03
