aggregation,averageCloseMoveRanges,averageContinuationMfeRanges,averageDownMaeRanges,averageReversionCloseMoveRanges,averageReversionMfeRanges,averageUpMfeRanges,endInsideCount,endInsideRate,events,group,horizonBars,medianCloseMoveRanges,medianReversionCloseMoveRanges,outcomes,pocTouchedCount,pocTouchedRate,profileWeightedAverageCloseMoveRanges,profileWeightedAverageReversionCloseMoveRanges,profileWeightedEndInsideRate,profileWeightedPocTouchedRate,profiles
boundary,-0.0416,0.2811,0.3085,0.0416,0.3085,0.2811,30,0.4839,62,HIGH,1,-0.05,0.05,62,15,0.2419,-0.057,0.057,0.4316,0.1873,17
boundary,-0.0285,0.5098,0.5444,0.0285,0.5444,0.5098,30,0.4839,62,HIGH,3,-0.105,0.105,62,28,0.4516,-0.1009,0.1009,0.5087,0.3178,17
boundary,0.0316,0.7377,0.7563,-0.0316,0.7563,0.7377,24,0.3871,62,HIGH,6,-0.09,0.09,62,37,0.5968,0.0677,-0.0677,0.3009,0.4706,17
boundary,0.0918,1.1103,1.0026,-0.0918,1.0026,1.1103,28,0.4516,62,HIGH,12,-0.14,0.14,62,48,0.7742,0.2821,-0.2821,0.4105,0.6387,17
boundary,-0.0962,0.4476,0.4476,-0.0962,0.2558,0.2558,11,0.2444,45,LOW,1,-0.09,-0.09,45,6,0.1333,-0.0921,-0.0921,0.227,0.1828,14
boundary,-0.1322,0.7529,0.7529,-0.1322,0.4493,0.4493,14,0.3111,45,LOW,3,0.01,0.01,45,10,0.2222,-0.0421,-0.0421,0.2687,0.2628,14
boundary,0.0813,0.9133,0.9133,0.0813,0.7544,0.7544,17,0.3778,45,LOW,6,0.18,0.18,45,22,0.4889,0.1677,0.1677,0.4014,0.5544,14
boundary,0.3191,1.2364,1.2364,0.3191,1.1762,1.1762,14,0.3111,45,LOW,12,0.41,0.41,45,33,0.7333,0.4782,0.4782,0.3214,0.7687,14
allEvents,-0.0646,0.3511,0.367,-0.0164,0.2864,0.2705,41,0.3832,107,ALL,1,-0.08,-0.01,107,21,0.1963,-0.103,-0.0509,0.3004,0.1336,24
allEvents,-0.0721,0.6121,0.6321,-0.0391,0.5044,0.4844,44,0.4112,107,ALL,3,-0.1,0.09,107,38,0.3551,-0.1313,-0.0425,0.3792,0.2313,24
allEvents,0.0525,0.8116,0.8223,0.0159,0.7555,0.7448,41,0.3832,107,ALL,6,-0.02,0.15,107,59,0.5514,0.0377,-0.1116,0.3139,0.4251,24
allEvents,0.1874,1.1634,1.1009,0.081,1.0756,1.138,42,0.3925,107,ALL,12,0.02,0.29,107,81,0.757,0.3362,-0.1227,0.3709,0.6587,24
interaction,-0.075,0.349,0.3719,-0.011,0.2871,0.2642,40,0.381,105,BREACH,1,-0.09,-0.01,105,20,0.1905,-0.1066,-0.0489,0.2984,0.1314,24
interaction,-0.0813,0.5956,0.635,-0.0166,0.5093,0.4699,44,0.419,105,BREACH,3,-0.1,0.1,105,37,0.3524,-0.1291,-0.0299,0.385,0.2305,24
interaction,0.0592,0.7888,0.8203,0.0213,0.7648,0.7332,40,0.381,105,BREACH,6,0.01,0.16,105,58,0.5524,0.045,-0.1048,0.3165,0.4279,24
interaction,0.1782,1.1472,1.1042,0.0854,1.089,1.1321,41,0.3905,105,BREACH,12,-0.01,0.29,105,79,0.7524,0.3349,-0.1195,0.3665,0.6587,24
interaction,0.485,0.465,0.11,-0.295,0.245,0.6,1,0.5,2,TOUCH,1,0.485,-0.295,2,1,0.5,0.485,-0.295,0.5,0.5,2
interaction,0.41,1.475,0.475,-1.22,0.245,1.245,0,0.0,2,TOUCH,3,0.41,-1.22,2,1,0.5,0.41,-1.22,0.0,0.5,2
interaction,-0.3,2.01,0.93,-0.27,0.27,1.35,1,0.5,2,TOUCH,6,-0.3,-0.27,2,1,0.5,-0.3,-0.27,0.5,0.5,2
interaction,0.67,2.01,0.93,-0.15,0.37,1.45,1,0.5,2,TOUCH,12,0.67,-0.15,2,2,1.0,0.67,-0.15,0.5,1.0,2
testOrdinal,-0.0084,0.3055,0.3661,0.0206,0.3287,0.2681,10,0.3226,31,FIRST_TEST,1,-0.1,0.02,31,5,0.1613,-0.0238,-0.0113,0.3125,0.1042,24
testOrdinal,-0.1135,0.5858,0.631,0.0187,0.5194,0.4742,15,0.4839,31,FIRST_TEST,3,-0.1,0.1,31,9,0.2903,-0.1844,-0.064,0.4583,0.2292,24
testOrdinal,0.0861,0.7435,0.7935,-0.0074,0.7716,0.7216,11,0.3548,31,FIRST_TEST,6,0.09,0.1,31,16,0.5161,-0.0096,-0.1496,0.2917,0.4375,24
testOrdinal,0.251,1.0594,1.021,0.0406,1.041,1.0794,13,0.4194,31,FIRST_TEST,12,-0.05,0.37,31,21,0.6774,0.2123,-0.1581,0.4375,0.625,24
testOrdinal,-0.0875,0.3697,0.3674,-0.0314,0.2691,0.2714,31,0.4079,76,REPEATED_TEST,1,-0.07,-0.025,76,16,0.2105,-0.1767,-0.0555,0.2476,0.1469,23
testOrdinal,-0.0553,0.6228,0.6325,-0.0626,0.4983,0.4886,29,0.3816,76,REPEATED_TEST,3,-0.105,0.075,76,29,0.3816,-0.1462,0.0112,0.3492,0.2166,23
testOrdinal,0.0388,0.8393,0.8341,0.0254,0.7489,0.7542,30,0.3947,76,REPEATED_TEST,6,-0.055,0.165,76,43,0.5658,0.087,-0.0887,0.3382,0.4435,23
testOrdinal,0.1614,1.2058,1.1336,0.0975,1.0897,1.162,29,0.3816,76,REPEATED_TEST,12,0.04,0.22,76,60,0.7895,0.3754,-0.0947,0.3842,0.687,23
closeState,-0.0043,0.323,0.3359,0.013,0.2949,0.2819,24,0.6486,37,INSIDE,1,0.01,0.01,37,17,0.4595,-0.0174,0.0404,0.6347,0.3899,16
closeState,0.0268,0.6605,0.5876,-0.1554,0.4905,0.5635,15,0.4054,37,INSIDE,3,0.01,-0.11,37,21,0.5676,-0.0839,-0.0834,0.3088,0.4807,16
closeState,0.1181,0.8773,0.7689,-0.0165,0.717,0.8254,15,0.4054,37,INSIDE,6,-0.03,0.03,37,25,0.6757,0.0372,-0.0095,0.3586,0.5952,16
closeState,0.0222,1.2597,1.0849,0.1232,0.9711,1.1459,16,0.4324,37,INSIDE,12,-0.11,0.22,37,34,0.9189,0.0281,0.3196,0.4695,0.9077,16
closeState,-0.275,0.375,0.375,-0.275,0.225,0.225,1,0.5,2,OPPOSITE_OUTSIDE,1,-0.275,-0.275,2,0,0.0,-0.275,-0.275,0.5,0.0,2
closeState,0.22,0.745,0.745,0.22,0.92,0.92,1,0.5,2,OPPOSITE_OUTSIDE,3,0.22,0.22,2,1,0.5,0.22,0.22,0.5,0.5,2
closeState,0.96,0.77,0.77,0.96,1.455,1.455,1,0.5,2,OPPOSITE_OUTSIDE,6,0.96,0.96,2,1,0.5,0.96,0.96,0.5,0.5,2
closeState,0.47,0.84,0.84,0.47,1.715,1.715,1,0.5,2,OPPOSITE_OUTSIDE,12,0.47,0.47,2,1,0.5,0.47,0.47,0.5,0.5,2
