BoundaryEvents,BuyVolume,CompressionScore,EndReason,High,HighTests,Low,LowTests,POC,ProfileCVD,ProfileLabel,Range,RangeToBaselineMedian,ReadyBar,ResolvedBar,SellVolume,StudyBars,TradeCoverage
1,37.0,0.68,SESSION_END,29064.25,1,28929.5,0,28990.0,-28.0,2026-05-19:327-333:DynamicCompression,134.75,3.88,333,336,65.0,3,AVAILABLE
3,116.0,0.74,ACCEPTANCE_BELOW_RANGE,29215.75,0,29176.5,3,29180.0,-85.0,2026-06-11:3999-4005:DynamicCompression,39.25,1.37,4005,4011,201.0,6,AVAILABLE
4,159.0,0.7,ACCEPTANCE_BELOW_RANGE,29186.25,2,29138.5,2,29146.5,-6.0,2026-06-11:4012-4020:DynamicCompression,47.75,2.26,4020,4034,165.0,14,AVAILABLE
4,509.0,0.69,ACCEPTANCE_BELOW_RANGE,29958.0,0,29901.0,4,29945.75,4.0,2026-06-12:4292-4298:DynamicCompression,57.0,1.44,4298,4302,505.0,4,AVAILABLE
2,1057.0,0.69,ACCEPTANCE_BELOW_RANGE,30960.75,0,30928.5,2,30946.5,-160.0,2026-06-16:4867-4873:DynamicCompression,32.25,1.63,4873,4876,1217.0,3,AVAILABLE
3,685.0,0.72,ACCEPTANCE_BELOW_RANGE,30526.5,0,30485.25,3,30497.0,-182.0,2026-06-17:5115-5121:DynamicCompression,41.25,1.81,5121,5124,867.0,3,AVAILABLE
12,2542.0,0.65,ACCEPTANCE_BELOW_RANGE,30650.0,5,30617.25,7,30639.0,-168.0,2026-06-19:5654-5660:DynamicCompression,32.75,1.68,5660,5680,2710.0,20,AVAILABLE
3,561.0,0.67,ACCEPTANCE_ABOVE_RANGE,30581.5,3,30535.75,0,30557.75,-39.0,2026-06-19:5688-5694:DynamicCompression,45.75,2.13,5694,5697,600.0,3,AVAILABLE
2,2236.0,0.68,SESSION_END,30695.75,2,30629.25,0,30671.5,288.0,2026-06-19:5717-5730:DynamicCompression,66.5,3.09,5730,5737,1948.0,7,AVAILABLE
7,5696.0,0.7,ACCEPTANCE_ABOVE_RANGE,29842.25,7,29752.0,0,29795.0,1147.0,2026-06-23:6188-6194:DynamicCompression,90.25,2.69,6194,6201,4549.0,7,AVAILABLE
7,41017.0,0.75,ACCEPTANCE_ABOVE_RANGE,29775.0,4,29691.75,3,29712.0,1333.0,2026-06-23:6212-6220:DynamicCompression,83.25,2.25,6220,6227,39684.0,7,AVAILABLE
3,730.0,0.73,ACCEPTANCE_BELOW_RANGE,29843.75,0,29793.75,3,29820.0,-94.0,2026-06-24:6442-6448:DynamicCompression,50.0,1.57,6448,6453,824.0,5,AVAILABLE
9,3347.0,0.75,ACCEPTANCE_BELOW_RANGE,29821.25,6,29774.0,3,29800.0,-24.0,2026-06-24:6455-6461:DynamicCompression,47.25,1.62,6461,6472,3371.0,11,AVAILABLE
4,2700.0,0.68,ACCEPTANCE_BELOW_RANGE,30185.0,2,30140.0,2,30155.0,8.0,2026-06-25:6735-6742:DynamicCompression,45.0,2.22,6742,6750,2692.0,8,AVAILABLE
2,0.0,0.67,ACCEPTANCE_BELOW_RANGE,29514.0,0,29444.25,2,29492.75,0.0,2026-06-26:6987-6993:DynamicCompression,69.75,1.76,6993,6995,0.0,2,MISSING
3,0.0,0.74,ACCEPTANCE_ABOVE_RANGE,29387.0,3,29340.25,0,29357.0,0.0,2026-06-26:7013-7019:DynamicCompression,46.75,1.23,7019,7023,0.0,4,MISSING
5,0.0,0.75,ACCEPTANCE_ABOVE_RANGE,29402.25,2,29354.5,3,29370.75,0.0,2026-06-26:7024-7030:DynamicCompression,47.75,1.59,7030,7035,0.0,5,MISSING
3,2204.0,0.7,ACCEPTANCE_ABOVE_RANGE,29688.25,2,29640.5,1,29660.0,37.0,2026-06-29:7272-7278:DynamicCompression,47.75,1.55,7278,7286,2167.0,8,AVAILABLE
4,2668.0,0.76,ACCEPTANCE_BELOW_RANGE,29759.75,0,29697.0,4,29707.75,-197.0,2026-06-29:7302-7308:DynamicCompression,62.75,2.5,7308,7317,2865.0,9,AVAILABLE
2,349.0,0.74,ACCEPTANCE_ABOVE_RANGE,30365.0,2,30338.75,0,30352.5,45.0,2026-07-01:7826-7832:DynamicCompression,26.25,1.01,7832,7835,304.0,3,AVAILABLE
2,1623.0,0.68,ACCEPTANCE_ABOVE_RANGE,30021.5,2,29967.0,0,29974.75,206.0,2026-07-02:8121-8129:DynamicCompression,54.5,1.82,8129,8133,1417.0,4,AVAILABLE
2,301.0,0.8,ACCEPTANCE_ABOVE_RANGE,29861.0,2,29832.75,0,29840.0,34.0,2026-07-03:8365-8371:DynamicCompression,28.25,1.56,8371,8373,267.0,2,AVAILABLE
13,1875.0,0.76,ACCEPTANCE_ABOVE_RANGE,29884.0,13,29864.5,0,29878.0,406.0,2026-07-03:8390-8396:DynamicCompression,19.5,1.18,8396,8412,1469.0,16,AVAILABLE
7,1498.0,0.67,ACCEPTANCE_ABOVE_RANGE,29875.0,5,29839.0,2,29859.0,118.0,2026-07-06:8605-8611:DynamicCompression,36.0,1.67,8611,8620,1380.0,9,AVAILABLE
2,1293.0,0.69,ACCEPTANCE_ABOVE_RANGE,29011.0,2,28922.75,0,28930.0,259.0,2026-07-08:9163-9173:DynamicCompression,88.25,1.7,9173,9175,1034.0,2,AVAILABLE
2,2456.0,0.75,ACCEPTANCE_ABOVE_RANGE,29033.0,2,28973.0,0,28995.0,448.0,2026-07-08:9182-9188:DynamicCompression,60.0,1.49,9188,9190,2008.0,2,AVAILABLE
6,3149.0,0.68,ACCEPTANCE_BELOW_RANGE,29675.75,0,29629.0,6,29667.75,-381.0,2026-07-09:9431-9439:DynamicCompression,46.75,1.84,9439,9455,3530.0,16,AVAILABLE
