AdverseMfeRanges,Boundary,ChartTimeFrame,Direction,DirectionalMoveRanges,ElapsedMinutes,EndBar,EndClose,EndInsideRange,EntryBar,EntryPrice,FavorableMfeRanges,HorizonBars,Italy,London,OperationalEntry,OrderSubmitted,PocTouched,ProfileLabel,ShadowId,ShadowModel,TradeCoverage,UTC
0.15,LOW,M5,SHORT,-0.07,29.65,4017,29168.75,False,4011,29166.0,0.7,6,2026-06-11 11:44:33,2026-06-11 10:44:33,False,False,False,2026-06-11:3999-4005:DynamicCompression,2026-06-11:3999-4005:DynamicCompression:4011:LOW,ACCEPTANCE_CONTINUATION_V1,AVAILABLE,2026-06-11 09:44:33
0.75,LOW,M5,SHORT,-0.29,59.26,4023,29177.25,True,4011,29166.0,0.7,12,2026-06-11 12:14:10,2026-06-11 11:14:10,False,False,True,2026-06-11:3999-4005:DynamicCompression,2026-06-11:3999-4005:DynamicCompression:4011:LOW,ACCEPTANCE_CONTINUATION_V1,AVAILABLE,2026-06-11 10:14:10
1.69,LOW,M5,SHORT,-1.34,29.95,4040,29160.0,True,4034,29096.0,0.0,6,2026-06-11 13:39:54,2026-06-11 12:39:54,False,False,True,2026-06-11:4012-4020:DynamicCompression,2026-06-11:4012-4020:DynamicCompression:4034:LOW,ACCEPTANCE_CONTINUATION_V1,AVAILABLE,2026-06-11 11:39:54
2.07,LOW,M5,SHORT,-1.88,59.16,4046,29185.75,True,4034,29096.0,0.0,12,2026-06-11 14:09:07,2026-06-11 13:09:07,False,False,True,2026-06-11:4012-4020:DynamicCompression,2026-06-11:4012-4020:DynamicCompression:4034:LOW,ACCEPTANCE_CONTINUATION_V1,AVAILABLE,2026-06-11 12:09:07
0.05,LOW,M5,SHORT,0.65,29.96,4307,29841.0,False,4301,29878.25,1.2,6,2026-06-12 12:54:56,2026-06-12 11:54:56,False,False,False,2026-06-12:4292-4298:DynamicCompression,2026-06-12:4292-4298:DynamicCompression:4301:LOW,ACCEPTANCE_CONTINUATION_V1,AVAILABLE,2026-06-12 10:54:56
0.99,LOW,M5,SHORT,-0.96,59.94,4313,29933.0,True,4301,29878.25,1.2,12,2026-06-12 13:24:55,2026-06-12 12:24:55,False,False,False,2026-06-12:4292-4298:DynamicCompression,2026-06-12:4292-4298:DynamicCompression:4301:LOW,ACCEPTANCE_CONTINUATION_V1,AVAILABLE,2026-06-12 11:24:55
0.05,LOW,M5,SHORT,2.31,30.0,4882,30828.0,False,4876,30902.5,2.69,6,2026-06-16 14:49:59,2026-06-16 13:49:59,False,False,False,2026-06-16:4867-4873:DynamicCompression,2026-06-16:4867-4873:DynamicCompression:4876:LOW,ACCEPTANCE_CONTINUATION_V1,AVAILABLE,2026-06-16 12:49:59
0.05,LOW,M5,SHORT,2.12,60.01,4888,30834.25,False,4876,30902.5,3.64,12,2026-06-16 15:19:59,2026-06-16 14:19:59,False,False,False,2026-06-16:4867-4873:DynamicCompression,2026-06-16:4867-4873:DynamicCompression:4876:LOW,ACCEPTANCE_CONTINUATION_V1,AVAILABLE,2026-06-16 13:19:59
0.42,LOW,M5,SHORT,-0.29,29.97,5129,30474.25,False,5123,30462.25,1.06,6,2026-06-17 12:24:57,2026-06-17 11:24:57,False,False,False,2026-06-17:5115-5121:DynamicCompression,2026-06-17:5115-5121:DynamicCompression:5123:LOW,ACCEPTANCE_CONTINUATION_V1,AVAILABLE,2026-06-17 10:24:57
0.9,LOW,M5,SHORT,-0.29,59.95,5135,30474.25,False,5123,30462.25,1.06,12,2026-06-17 12:54:56,2026-06-17 11:54:56,False,False,True,2026-06-17:5115-5121:DynamicCompression,2026-06-17:5115-5121:DynamicCompression:5123:LOW,ACCEPTANCE_CONTINUATION_V1,AVAILABLE,2026-06-17 10:54:56
0.07,LOW,M5,SHORT,1.17,30.02,5686,30570.0,False,5680,30608.25,2.11,6,2026-06-19 12:49:58,2026-06-19 11:49:58,False,False,False,2026-06-19:5654-5660:DynamicCompression,2026-06-19:5654-5660:DynamicCompression:5680:LOW,ACCEPTANCE_CONTINUATION_V1,AVAILABLE,2026-06-19 10:49:58
0.07,LOW,M5,SHORT,1.05,60.02,5692,30574.0,False,5680,30608.25,2.21,12,2026-06-19 13:19:58,2026-06-19 12:19:58,False,False,False,2026-06-19:5654-5660:DynamicCompression,2026-06-19:5654-5660:DynamicCompression:5680:LOW,ACCEPTANCE_CONTINUATION_V1,AVAILABLE,2026-06-19 11:19:58
