AdverseMfeToDateRanges,Boundary,BuyVolume,CandleVolume,ChartTimeFrame,Close,Delta,Direction,DirectionalMoveRanges,ElapsedMinutes,EntryBar,FavorableMfeToDateRanges,High,Italy,London,Low,MaxBuyVolume,MaxSellVolume,Open,OperationalEntry,OrderSubmitted,PathBar,PathBarOrdinal,PocTouchedThisBar,PocTouchedToDate,PriceState,ProfileLabel,SellVolume,ShadowId,ShadowModel,TotalVolume,TradeCount,TradeCoverage,UTC
0.07,LOW,26.0,51.0,M5,29165.0,1.0,SHORT,0.03,4.35,4011,0.39,29168.75,2026-06-11 11:19:15,2026-06-11 10:19:15,29150.75,7.0,13.0,29162.0,False,False,4012,1,False,False,BELOW_RANGE,2026-06-11:3999-4005:DynamicCompression,25.0,2026-06-11:3999-4005:DynamicCompression:4011:LOW,ACCEPTANCE_CONTINUATION_V1,51.0,28,AVAILABLE,2026-06-11 09:19:15
0.07,LOW,4.0,15.0,M5,29154.5,-7.0,SHORT,0.29,10.01,4011,0.61,29162.5,2026-06-11 11:24:55,2026-06-11 10:24:55,29142.0,1.0,2.0,29162.5,False,False,4013,2,False,False,BELOW_RANGE,2026-06-11:3999-4005:DynamicCompression,11.0,2026-06-11:3999-4005:DynamicCompression:4011:LOW,ACCEPTANCE_CONTINUATION_V1,15.0,12,AVAILABLE,2026-06-11 09:24:55
0.07,LOW,24.0,26.0,M5,29168.25,22.0,SHORT,-0.06,14.4,4011,0.61,29168.25,2026-06-11 11:29:18,2026-06-11 10:29:18,29144.5,8.0,1.0,29152.5,False,False,4014,3,False,False,BELOW_RANGE,2026-06-11:3999-4005:DynamicCompression,2.0,2026-06-11:3999-4005:DynamicCompression:4011:LOW,ACCEPTANCE_CONTINUATION_V1,26.0,11,AVAILABLE,2026-06-11 09:29:18
0.07,LOW,9.0,13.0,M5,29143.0,5.0,SHORT,0.59,17.59,4011,0.7,29152.75,2026-06-11 11:32:29,2026-06-11 10:32:29,29138.5,3.0,2.0,29151.25,False,False,4015,4,False,False,BELOW_RANGE,2026-06-11:3999-4005:DynamicCompression,4.0,2026-06-11:3999-4005:DynamicCompression:4011:LOW,ACCEPTANCE_CONTINUATION_V1,13.0,10,AVAILABLE,2026-06-11 09:32:29
0.07,LOW,0.0,3.0,M5,29160.0,-3.0,SHORT,0.15,24.97,4011,0.7,29160.0,2026-06-11 11:39:52,2026-06-11 10:39:52,29151.5,0.0,1.0,29151.5,False,False,4016,5,False,False,BELOW_RANGE,2026-06-11:3999-4005:DynamicCompression,3.0,2026-06-11:3999-4005:DynamicCompression:4011:LOW,ACCEPTANCE_CONTINUATION_V1,3.0,3,AVAILABLE,2026-06-11 09:39:52
0.15,LOW,3.0,7.0,M5,29168.75,-1.0,SHORT,-0.07,29.65,4011,0.7,29171.75,2026-06-11 11:44:33,2026-06-11 10:44:33,29161.5,1.0,1.0,29162.5,False,False,4017,6,False,False,BELOW_RANGE,2026-06-11:3999-4005:DynamicCompression,4.0,2026-06-11:3999-4005:DynamicCompression:4011:LOW,ACCEPTANCE_CONTINUATION_V1,7.0,7,AVAILABLE,2026-06-11 09:44:33
0.52,LOW,7.0,13.0,M5,29170.0,1.0,SHORT,-0.1,35.08,4011,0.7,29186.25,2026-06-11 11:49:59,2026-06-11 10:49:59,29167.0,1.0,2.0,29177.75,False,False,4018,7,True,True,BELOW_RANGE,2026-06-11:3999-4005:DynamicCompression,6.0,2026-06-11:3999-4005:DynamicCompression:4011:LOW,ACCEPTANCE_CONTINUATION_V1,13.0,12,AVAILABLE,2026-06-11 09:49:59
0.52,LOW,2.0,52.0,M5,29167.0,-48.0,SHORT,-0.03,40.0,4011,0.7,29176.5,2026-06-11 11:54:54,2026-06-11 10:54:54,29153.5,1.0,25.0,29175.5,False,False,4019,8,False,True,BELOW_RANGE,2026-06-11:3999-4005:DynamicCompression,50.0,2026-06-11:3999-4005:DynamicCompression:4011:LOW,ACCEPTANCE_CONTINUATION_V1,52.0,14,AVAILABLE,2026-06-11 09:54:54
0.52,LOW,3.0,8.0,M5,29162.5,-2.0,SHORT,0.09,42.15,4011,0.7,29175.5,2026-06-11 11:57:03,2026-06-11 10:57:03,29162.5,1.0,1.0,29162.75,False,False,4020,9,False,True,BELOW_RANGE,2026-06-11:3999-4005:DynamicCompression,5.0,2026-06-11:3999-4005:DynamicCompression:4011:LOW,ACCEPTANCE_CONTINUATION_V1,8.0,8,AVAILABLE,2026-06-11 09:57:03
0.52,LOW,9.0,13.0,M5,29169.25,5.0,SHORT,-0.08,49.01,4011,0.7,29182.0,2026-06-11 12:03:55,2026-06-11 11:03:55,29159.0,2.0,1.0,29159.0,False,False,4021,10,True,True,BELOW_RANGE,2026-06-11:3999-4005:DynamicCompression,4.0,2026-06-11:3999-4005:DynamicCompression:4011:LOW,ACCEPTANCE_CONTINUATION_V1,13.0,12,AVAILABLE,2026-06-11 10:03:55
0.75,LOW,17.0,26.0,M5,29184.75,8.0,SHORT,-0.48,54.87,4011,0.7,29195.25,2026-06-11 12:09:47,2026-06-11 11:09:47,29178.75,5.0,1.0,29183.0,False,False,4022,11,True,True,INSIDE_RANGE,2026-06-11:3999-4005:DynamicCompression,9.0,2026-06-11:3999-4005:DynamicCompression:4011:LOW,ACCEPTANCE_CONTINUATION_V1,26.0,19,AVAILABLE,2026-06-11 10:09:47
0.75,LOW,0.0,2.0,M5,29177.25,-2.0,SHORT,-0.29,59.26,4011,0.7,29177.25,2026-06-11 12:14:10,2026-06-11 11:14:10,29169.25,0.0,1.0,29169.25,False,False,4023,12,False,True,INSIDE_RANGE,2026-06-11:3999-4005:DynamicCompression,2.0,2026-06-11:3999-4005:DynamicCompression:4011:LOW,ACCEPTANCE_CONTINUATION_V1,2.0,2,AVAILABLE,2026-06-11 10:14:10
