date,nc_long,nc_short,nc_net,cm_long,cm_short,cm_net,nr_long,nr_short,nr_net,close
2016-09-20,326326,70147,256179,120314,410929,-290615,61156,26720,34436,1313.7
2016-09-27,358972,67068,291904,123156,437750,-314594,53108,30418,22690,1325.9
2016-10-04,324136,78628,245508,111864,383106,-271242,54958,29224,25734,1266.3
2016-10-11,283386,88167,195219,112362,333561,-221199,53697,27717,25980,1253
2016-10-18,274345,94727,179618,115441,318112,-202671,51020,27967,23053,1260.8
2016-10-25,285376,88396,196980,114700,332299,-217599,49625,29006,20619,1271.9
2016-11-01,288308,73177,215131,115398,354649,-239251,51847,27727,24120,1286.4
2016-11-08,289860,72622,217238,114915,360501,-245586,51015,22667,28348,1273.4
2016-11-15,245750,68090,177660,115191,315157,-199966,49240,26934,22306,1224
2016-11-22,241646,74561,167085,97975,290147,-192172,52695,27608,25087,1211
2016-11-29,229731,78161,151570,92628,260451,-167823,45567,29314,16253,1187.9
2016-12-06,227675,91295,136380,86237,241181,-154944,45639,27075,18564,1167.6
2016-12-13,229755,100444,129311,86143,236029,-149886,46092,25517,20575,1156.7
2016-12-20,219067,104233,114834,87960,221982,-134022,47292,28104,19188,1131.5
2016-12-27,206538,108195,98343,89975,210942,-120967,49164,26540,22624,1137.3
2017-01-03,208855,112305,96550,97410,215022,-117612,47387,26325,21062,1160.4
2017-01-10,214000,104518,109482,96763,222579,-125816,44077,27743,16334,1184.2
2017-01-17,218144,111103,107041,101399,224510,-123111,43995,27925,16070,1212
2017-01-24,209854,100447,109407,109000,235374,-126374,43722,26755,16967,1210.3
2017-01-31,212414,93259,119155,101784,233587,-131803,39227,26579,12648,1208.6
2017-02-07,216408,99259,117149,106024,240170,-134146,41364,24367,16997,1234.2
2017-02-14,212259,102507,109752,105674,233462,-127788,39763,21727,18036,1223.9
2017-02-21,219673,95910,123763,103861,243425,-139564,40344,24543,15801,1237.5
2017-02-28,247494,83696,163798,100180,280087,-179907,43997,27888,16109,1252.6
2017-03-07,229969,96284,133685,99484,252132,-152648,43791,24828,18963,1215.1
2017-03-14,210315,104277,106038,102535,225822,-123287,44232,26983,17249,1201.9
2017-03-21,219719,103467,116252,101282,230279,-128997,43297,30552,12745,1246.1
2017-03-28,227839,90019,137820,104760,256874,-152114,42014,27720,14294,1255.3
2017-04-04,239061,83625,155436,96115,267131,-171016,43589,28009,15580,1255
2017-04-11,253004,80338,172666,98119,285483,-187364,47518,32820,14698,1271.2
2017-04-18,279311,83543,195768,97769,308833,-211064,46822,31526,15296,1291.7
2017-04-25,287468,86791,200677,100335,314915,-214580,44669,30766,13903,1265.6
2017-05-02,276032,86398,189634,99054,303040,-203986,44782,30430,14352,1255.1
2017-05-09,236115,86109,150006,104960,269382,-164422,45099,30683,14416,1214.3
2017-05-16,221532,94808,126724,113719,256578,-142859,45111,28976,16135,1235
2017-05-23,241752,81985,159767,112114,286405,-174291,45278,30754,14524,1254.8
2017-05-30,250542,83452,167090,103751,286970,-183219,44404,28275,16129,1262.1
2017-06-06,312240,107775,204465,108298,324652,-216354,44028,32139,11889,1294.4
2017-06-13,297178,106904,190274,105193,308804,-203611,40186,26849,13337,1265.8
2017-06-20,252620,101945,150675,110287,275303,-165016,43201,28860,14341,1241
2017-06-27,236586,104914,131672,117497,267360,-149863,47403,29212,18191,1246.4
2017-07-03,221681,127882,93799,131190,238416,-107226,47362,33935,13427,1217.9
2017-07-11,217637,157377,60260,147818,221734,-73916,45455,31799,13656,1213.6
2017-07-18,217232,157094,60138,153064,226699,-73635,44194,30697,13497,1241.1
2017-07-25,220299,129468,90831,148926,252269,-103343,43387,30875,12512,1251.7
2017-08-01,239766,110094,129672,126891,270276,-143385,42055,28342,13713,1272.6
2017-08-08,246377,97540,148837,125168,284679,-159511,40774,30100,10674,1256.4
2017-08-15,277730,89996,187734,122138,318769,-196631,40360,31463,8897,1273.7
2017-08-22,295711,87273,208438,125036,344954,-219918,42070,30590,11480,1285.1
2017-08-29,318883,87836,231047,119030,367059,-248029,46981,29999,16982,1313.1
2017-09-05,336073,90775,245298,125145,386952,-261807,50741,34232,16509,1339.2
2017-09-12,351492,96732,254760,123298,395396,-272098,48644,31306,17338,1328
2017-09-19,330646,94557,236089,129222,382263,-253041,46252,29300,16952,1306.2
2017-09-26,303255,90661,212594,134501,367972,-233471,48586,27709,20877,1297
2017-10-03,287296,83441,203855,126749,351172,-224423,46571,26003,20568,1271.5
2017-10-10,279227,79115,200112,124178,347175,-222997,48086,25201,22885,1290.6
2017-10-17,284617,83893,200724,126678,348302,-221624,47228,26328,20900,1283
2017-10-24,275521,84136,191385,125468,336121,-210653,45115,25847,19268,1275
2017-10-31,268710,75615,193095,128371,339019,-210648,45483,27930,17553,1267
2017-11-07,272571,76781,195790,123149,338436,-215287,46485,26988,19497,1273.7
2017-11-14,271496,76412,195084,122703,338494,-215791,47250,26543,20707,1281.5
2017-11-21,272934,71107,201827,124856,349912,-225056,49727,26498,23229,1281.1
2017-11-28,287384,62967,224417,116831,363372,-246541,47240,25116,22124,1294.7
2017-12-05,251234,77905,173329,132509,322399,-189890,44147,27586,16561,1261.6
2017-12-12,201912,94844,107068,155730,275193,-119463,43569,31174,12395,1238.5
2017-12-19,197473,83678,113795,156226,284443,-128217,43486,29064,14422,1260.7
2017-12-26,202590,66642,135948,155469,304938,-149469,40768,27247,13521,1284.1
2018-01-02,241428,78160,163268,155104,332704,-177600,44151,29819,14332,1313.7
2018-01-09,289161,85873,203288,150099,370370,-220271,46925,29942,16983,1311.7
2018-01-16,301863,90152,211711,158202,390709,-232507,49098,28302,20796,1335.4
2018-01-23,305812,91128,214684,161458,396010,-234552,50628,30760,19868,1335.7
2018-01-30,298327,91065,207262,154690,379766,-225076,48667,30853,17814,1335.4
2018-02-06,273828,82951,190877,158650,364101,-205451,42286,27712,14574,1326.1
