date,market,nc_long,nc_short,nc_net,d_long,d_short,d_net,skew_ratio,close
2016-09-13,DOW_x5,77122,18569,58553,,,,,18066.75
2016-09-13,NASDAQ100_MINI,134075,37909,96166,,,,,4722.8501
2016-09-13,SP500,119140,100576,18564,,,,,2128.8
2016-09-20,DOW_x5,71002,16726,54276,-6120,-1843,-4277,-0.5371,18129.9609
2016-09-20,NASDAQ100_MINI,148171,29457,118714,14096,-8452,22548,1.0,4805.2202
2016-09-20,SP500,110229,90463,19766,-8911,-10113,1202,0.0632,2131.1
2016-09-27,DOW_x5,77385,16512,60873,6383,-214,6597,1.0,18228.3008
2016-09-27,NASDAQ100_MINI,166964,30472,136492,18793,1015,17778,0.8975,4866.71
2016-09-27,SP500,111265,94104,17161,1036,3641,-2605,-0.557,2152.8
2016-10-04,DOW_x5,77729,19158,58571,344,2646,-2302,-0.7699,18168.4492
2016-10-04,NASDAQ100_MINI,165881,28492,137389,-1083,-1980,897,0.2929,4859.4702
2016-10-04,SP500,108077,97342,10735,-3188,3238,-6426,-1.0,2144.7
2016-10-11,DOW_x5,75492,22871,52621,-2237,3713,-5950,-1.0,18128.6602
2016-10-11,NASDAQ100_MINI,158626,29327,129299,-7255,835,-8090,-1.0,4821.9102
2016-10-11,SP500,104197,106414,-2217,-3880,9072,-12952,-1.0,2134.4
2016-10-18,DOW_x5,76085,20223,55862,593,-2648,3241,1.0,18161.9395
2016-10-18,NASDAQ100_MINI,184445,27325,157120,25819,-2002,27821,1.0,4839.7202
2016-10-18,SP500,107706,95050,12656,3509,-11364,14873,1.0,2131.9
2016-10-25,DOW_x5,72416,23806,48610,-3669,3583,-7252,-1.0,18169.2695
2016-10-25,NASDAQ100_MINI,191604,28942,162662,7159,1617,5542,0.6315,4891.4502
2016-10-25,SP500,102827,102809,18,-4879,7759,-12638,-1.0,2138
2016-11-01,DOW_x5,69356,27137,42219,-3060,3331,-6391,-1.0,18037.0996
2016-11-01,NASDAQ100_MINI,161406,29703,131703,-30198,761,-30959,-1.0,4766.9399
2016-11-01,SP500,102026,100054,1972,-801,-2755,1954,0.5495,2103.8
2016-11-08,DOW_x5,74367,30869,43498,5011,3732,1279,0.1463,18332.7402
