date,Dealer_L,Dealer_S,AM_L,AM_S,LM_L,LM_S,OR_L,OR_S,NR_L,NR_S,open,high,low,close
2016-09-13,32244,115851,65941,26813,118148,75295,12206,14815,29205,24970,4740,4756.2002,4701.79,4722.8501
2016-09-20,23972,133134,80986,26913,123312,73104,11517,8585,27814,25865,4813.7798,4824.21,4797.7798,4805.2202
2016-09-27,22205,151872,80836,26812,143483,72794,11067,9506,30278,26885,4813.8901,4868.3799,4811.2798,4866.71
2016-10-04,21422,149660,81349,28993,142225,71431,12326,9254,29157,27141,4880.5698,4891.5,4841.7202,4859.4702
2016-10-11,20785,150027,69777,29920,147275,69573,7744,8699,41095,28457,4890.1699,4890.1699,4804.2402,4821.9102
2016-10-18,21354,156905,85697,28576,150318,75954,10084,9448,29855,26425,4849.9102,4860.6802,4837.3101,4839.7202
2016-10-25,16807,173081,85647,28763,165582,67326,9007,9862,31120,29131,4908.1802,4911.7598,4885.8999,4891.4502
2016-11-01,15121,175631,71699,29732,183669,65141,8966,9068,28041,27924,4810.2998,4811.02,4726.3501,4766.9399
2016-11-08,13868,157473,65442,32282,172428,64285,8075,8740,26897,23930,4766.48,4824.9702,4757.25,4804.9199
2016-11-15,32135,93757,61164,32238,112768,85033,9397,7963,26905,23378,4733.5698,4778.6499,4727.98,4764.4702
2016-11-22,28811,98714,64142,30882,106962,76065,11993,9599,28799,25447,4876.9199,4884.6299,4861.0801,4873.8398
2016-11-29,36548,102262,65183,30282,102942,76433,10722,11421,30600,25597,4859.8501,4896.5698,4848.8901,4873.21
2016-12-06,59998,85922,53233,35219,82237,74902,10830,8927,31323,32651,4786.0601,4796.5801,4769.3901,4788.6699
2016-12-13,45584,94260,42607,30989,94389,66663,8816,11708,32951,20727,4893.6499,4960.48,4890.1499,4935.8398
2016-12-20,13037,90738,65306,25109,98732,69314,6532,6637,29481,21290,4948.3398,4961.5498,4944.3198,4953.7998
2016-12-27,14720,99297,61460,24362,103202,62576,6394,9111,29355,19785,4948.9199,4992.0801,4947.5898,4965.8101
2017-01-03,21615,93188,61153,27166,98112,65104,9662,13268,28818,20634,4900.8501,4928.4902,4884.52,4911.3301
2017-01-10,22653,83651,63184,26774,89501,66707,9086,9393,28928,26827,5027.5,5049.8301,5016.1899,5035.1699
2017-01-17,22208,87178,63936,26896,93345,66379,8338,10226,29075,26223,5043.0698,5053.2002,5029.6099,5044.6499
2017-01-24,26594,83614,58785,28124,92748,62749,6837,9399,28881,29959,5079.6099,5108.2202,5068.3701,5101.0601
2017-01-31,26274,97519,64615,27644,101645,66475,6899,10884,29219,26130,5107.4702,5116.7998,5086.3301,5116.77
2017-02-07,30452,82826,60498,25805,93449,73569,9080,10863,28787,29203,5178.8501,5196.27,5174.3398,5185.8799
2017-02-14,30119,76028,59236,25527,92128,74777,9127,10938,28744,32084,5251.3599,5271.1001,5238.6899,5271.0698
2017-02-21,32046,66580,55524,25608,97544,78518,8813,19771,29599,33049,5334.5698,5353.1602,5330.4702,5350.73
2017-02-28,31592,68917,48140,26626,106013,79628,8143,18568,30786,30935,5344.1802,5347.4702,5316.7002,5330.3101
2017-03-07,31762,50465,39969,28964,98974,80823,9741,20307,30794,30681,5348.2002,5373.2598,5341.4302,5351.2798
2017-03-14,36636,44850,42813,31569,92449,89066,10544,18946,37896,35907,5382.79,5384.8799,5360.7002,5382.1699
2017-03-21,12593,75734,74356,27678,93849,76179,10248,16610,32351,27196,5433.2798,5439.5801,5328.71,5332.5298
2017-03-28,12945,82534,77676,23589,99805,75754,7631,18530,31567,29217,5371.8999,5422.25,5363.29,5407.21
2017-04-04,13112,84839,70449,27192,105511,72156,11016,14905,30284,31280,5415.5298,5441.3398,5415.2998,5440.4102
2017-04-11,18437,96051,71898,26623,109079,71668,10293,14823,30802,31344,5413.9102,5422.79,5359.1401,5398.3999
2017-04-18,18823,103342,67303,28412,119978,69046,9314,14399,30829,31048,5383.7402,5405.54,5377.9102,5391.6602
2017-04-25,17218,114112,71824,25277,135684,74826,8408,17964,32055,33010,5523.48,5557.9302,5521.52,5548.1899
2017-05-02,20339,106876,72766,26190,125468,75850,7942,15967,33001,34633,5642.4102,5645.0801,5625.4902,5644.0698
2017-05-09,23588,110521,73687,25152,121642,71766,8503,17358,31763,34386,5667.98,5691.21,5664,5678.3101
2017-05-16,29927,97769,71672,24797,114117,80055,9161,18907,32680,36029,5715.1499,5724.71,5699.4102,5724.4399
2017-05-23,34808,99531,64572,23749,113891,81120,9187,15481,32135,34712,5714.9399,5716.5498,5690.2002,5703.3501
2017-05-30,30733,103405,65056,23815,122517,81995,8332,16436,35038,36025,5785.3799,5799.9902,5781.3701,5794.6299
2017-06-06,27349,124511,76601,30384,138828,86888,13677,17056,36578,34194,5869.48,5890.8799,5848.3198,5856.77
2017-06-13,27921,113752,65493,30545,138125,94798,20932,16608,38638,35406,5740.21,5760.54,5709.1699,5751.8198
2017-06-20,6848,113503,91270,32348,120713,76102,10952,15657,37279,29452,5763,5772.1699,5725.0098,5726.3101
2017-06-27,15194,97146,82864,35429,124445,85312,10444,17110,36054,34004,5752.7202,5761.04,5671.6001,5671.6001
2017-07-03,36742,94105,75628,39305,116522,90304,11248,18542,35876,33760,5680.3599,5684.98,5592.5298,5596.96
2017-07-11,45344,84945,72486,40107,105054,84505,9498,16901,31936,37860,5687.0298,5717.9102,5667.27,5709.7998
2017-07-18,35716,83288,73798,40864,116343,85632,9151,18348,32058,38934,5832.9199,5880.5498,5818.2002,5880.1001
2017-07-25,40575,93249,66449,42521,125418,80400,8875,18445,32679,39381,5927.1001,5945.0601,5916.29,5930.6499
2017-08-01,46047,91155,63364,39471,122180,88272,9193,16191,34299,39994,5900.6401,5905.29,5880.4502,5895.1699
2017-08-08,54914,87037,62604,40532,119882,91334,9867,19349,30972,39987,5922.6401,5972.9302,5910.5,5926.3501
2017-08-15,59680,78285,60561,41905,120990,95926,8779,22240,32484,44138,5917.29,5919.75,5893.8501,5907.73
2017-08-22,72066,69157,56667,45602,98786,97366,12033,21378,34190,40239,5817.29,5879,5817.02,5873.3301
